Authors,Link
"Wu Y., Yan H., Li S., Zhang K., Zhang L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083196421&doi=10.1016%2fj.jsv.2020.115374&partnerID=40&md5=41682c9a6c5341f0ec2c7e3e92b9a927"
"Hao X., Zhai J., Liang J., Chen Y., Han Q.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076518118&doi=10.1016%2fj.triboint.2019.106125&partnerID=40&md5=a38d36b69c6d2cbd1a2fcb5abc2a0343"
"Zhang L., Xuan J., Shi T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082054044&doi=10.3390%2fsym12030361&partnerID=40&md5=d8dfcf54d60132988d876eaad0b60c93"
"Liu Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082604500&doi=10.1108%2fILT-01-2020-0030&partnerID=40&md5=3707ee574b09bea7b11643946ab4cfeb"
"Polyakov A.N., Kamenev S.V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077446522&doi=10.1088%2f1742-6596%2f1399%2f4%2f044033&partnerID=40&md5=86d728c17b538642ba4e7d608099f8e6"
"Liu J., Tang C., Wu H., Xu Z., Wang L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070914231&doi=10.1016%2fj.mechmachtheory.2019.103597&partnerID=40&md5=ccb15cf58b078a4727834976f010dc1b"
"Huang S., Xu Z., Wang G., Zeng C., Yan Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071030202&doi=10.1007%2fs00170-019-04236-6&partnerID=40&md5=38d9611145b74ecced6539ebbedd29c4"
"Brecher C., Ihlenfeldt S., Neus S., Steinert A., Galant A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065656769&doi=10.1007%2fs11740-019-00905-3&partnerID=40&md5=af39447847be95ba6acba0193fdb8606"
"Gupta T.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068336244&doi=10.1177%2f1077546319856147&partnerID=40&md5=c16b037744b589168e909a8983cad2cb"
"Fang B., Zhang J., Yan K., Hong J., Yu Wang M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061982872&doi=10.1016%2fj.mechmachtheory.2019.02.012&partnerID=40&md5=775b889a93f5ad716feff0a58e848c5c"
