Authors,Link
"Gajda I., Obata O., Greenman J., Ieropoulos I.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082561696&doi=10.1038%2fs41598-020-60626-x&partnerID=40&md5=ca75e19b27bfc25ef226a0719036698a"
"Obata O., Greenman J., Kurt H., Chandran K., Ieropoulos I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083023359&doi=10.1016%2fj.bioelechem.2020.107500&partnerID=40&md5=d5339130cb23cff2ad15d6606919e932"
"Chen W., Li F., Chen L., Zhang Y., Zhang T., Wang T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083521770&doi=10.1016%2fj.ijbiomac.2020.04.053&partnerID=40&md5=ba1e0548b6fabcf24c1781a4e938209e"
"Soavi F., Santoro C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082550153&doi=10.1016%2fj.coelec.2020.03.009&partnerID=40&md5=03149f06dd84de8e1e766c7753b9e25d"
"Koók L., Nemestóthy N., Bélafi-Bakó K., Bakonyi P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083011037&doi=10.1016%2fj.biortech.2020.123313&partnerID=40&md5=976bde40eecd753370ff45d05ed11ecb"
"Noori M.T., Vu M.T., Ali R.B., Min B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077143385&doi=10.1016%2fj.cej.2019.123689&partnerID=40&md5=fcb9922afb2409068ad4cb823f5357a2"
"Khuman C.N., Bhowmick G.D., Ghangrekar M.M., Mitra A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082593072&doi=10.1061%2f%28ASCE%29HZ.2153-5515.0000499&partnerID=40&md5=e835c9f6adb6e1c2f4cd0a0370d67c30"
"Gurjar R., Behera M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083917018&doi=10.1061%2f%28ASCE%29HZ.2153-5515.0000505&partnerID=40&md5=7470e7aae084976fa709c5eb41269a5d"
"Gajda I., Obata O., Jose Salar-Garcia M., Greenman J., Ieropoulos I.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078482434&doi=10.1016%2fj.bioelechem.2020.107459&partnerID=40&md5=2c8c5e8310e60292b98340f8e4ae2eef"
"Paśmionka I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078125761&doi=10.1007%2fs10453-020-09627-x&partnerID=40&md5=5dcd77a99c2df555eefe2cff9634dfc7"
"Nyamutswa L.T., Zhu B., Collins S.F., Navaratna D., Duke M.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081729150&doi=10.1016%2fj.memsci.2020.118018&partnerID=40&md5=6e85e6c25893d58d5fe529c6e00d6cda"
"Hao S., Sun X., Zhang H., Zhai J., Dong S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084179587&doi=10.1039%2fc9tb02428j&partnerID=40&md5=d67d4cef6ef4552d47cfc6955a5c9e84"
"Frattini D., Accardo G., Kwon Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078020848&doi=10.1016%2fj.memsci.2020.117843&partnerID=40&md5=5ede0321ecc027d46d7469cff2aa096c"
"You J., Staddon C., Cook A., Walker J., Boulton J., Powell W., Ieropoulos I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082561313&doi=10.3390%2fijerph17072175&partnerID=40&md5=75c157ccfdb555937f427e6f19ea3ece"
"Grattieri M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083430101&doi=10.1039%2fc9pp00470j&partnerID=40&md5=e24519b62be4e25c484ea237be168707"
"Cecconet D., Sabba F., Devecseri M., Callegari A., Capodaglio A.G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079560721&doi=10.1016%2fj.envint.2020.105550&partnerID=40&md5=55897ba966c5ad45b2030be1f07db2ed"
"Santoro C., Garcia M.J.S., Walter X.A., You J., Theodosiou P., Gajda I., Obata O., Winfield J., Greenman J., Ieropoulos I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081558542&doi=10.1002%2fcelc.201901995&partnerID=40&md5=8c15599f5ed7830f5bf2bb5ec2b2afc3"
"Obata O., Salar-Garcia M.J., Greenman J., Kurt H., Chandran K., Ieropoulos I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077625926&doi=10.1016%2fj.jenvman.2019.109992&partnerID=40&md5=1b60a4ba8e683835b82820dba31b2358"
"Gajda I., Greenman J., Ieropoulos I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079389157&doi=10.1016%2fj.apenergy.2019.114475&partnerID=40&md5=8b9ef871688bcd0830abae9f74c80b13"
"Pasternak G., Askitosari T.D., Rosenbaum M.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082696984&doi=10.3389%2ffmicb.2020.00358&partnerID=40&md5=c1189dd5c13fb4725da94c115812aa73"
"Salar-García M.J., Ieropoulos I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078436338&doi=10.1016%2fj.jpowsour.2020.227741&partnerID=40&md5=4cb27aa02c74734b950fb2b6be5558b7"
"Selloum D., Techer V., Henni A., Tingry S., Cretin M., Innocent C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078277650&doi=10.1007%2fs10008-020-04506-4&partnerID=40&md5=a4c2c6f0ba81e683891e8b26b31c6b9a"
"Costa de Oliveira M.A., Mecheri B., D'Epifanio A., Zurlo F., Licoccia S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077504995&doi=10.1016%2fj.electacta.2020.135650&partnerID=40&md5=b20ce577ccc1445853082dcc71f50fb5"
"Yousefi V., Mohebbi-Kalhori D., Samimi A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076968864&doi=10.1016%2fj.ijhydene.2019.11.216&partnerID=40&md5=70b236620d13af8626a5481b3dd5f854"
"Azizul Moqsud M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074407327&doi=10.1016%2fj.ijsrc.2019.08.006&partnerID=40&md5=9048043b65a9ed9e28e482e14c4cb98d"
"Gao N., Fan Y., Wang L., Long F., Deng D., Liu H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076579741&doi=10.1016%2fj.biortech.2019.122479&partnerID=40&md5=4e672176050dae3a315d6be50a16ed63"
