Authors,Link
"Bińczycki T., Weber J., Mielnik L., Asensio C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078455215&doi=10.1016%2fj.catena.2020.104476&partnerID=40&md5=7970f4badf70a01f05453f2a665899f7"
"Fiałkiewicz-Kozieł B., Łokas E., Gałka M., Kołaczek P., De Vleeschouwer F., Le Roux G., Smieja-Król B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077689774&doi=10.1016%2fj.quascirev.2020.106162&partnerID=40&md5=26d8d026a86eebe222f96b5505fa1b90"
"Hůnová I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081167662&doi=10.3390%2fatmos11020214&partnerID=40&md5=4249a5441c139e4b0ef6e0c1b5cab4bf"
"Vacek Z., Vacek S., Prokůpková A., Bulušek D., Podrázský V., Hůnová I., Putalová T., Král J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084250701&doi=10.12657%2fdenbio.083.001&partnerID=40&md5=6c242b347b7e449fd7cfeb4ba49e9072"
"Opała-Owczarek M., Błaś M., Owczarek P., Sobik M., Godek M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057337240&doi=10.1080%2f02723646.2018.1547872&partnerID=40&md5=74f1b916d8a77d0cbd916ea34e5b5ada"
"Hălbac-Cotoară-Zamfir R., Keesstra S., Kalantari Z.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056471487&doi=10.1016%2fj.scitotenv.2018.11.160&partnerID=40&md5=298d77724833ecca2426d8a65209a714"
"Furmankiewicz M., Potocki J., Kazak J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062507172&doi=10.1088%2f1757-899X%2f471%2f9%2f092033&partnerID=40&md5=3f60101cf66e12155dc9da31cac9538e"
"Böhm H., Šmída J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072923931&doi=10.2478%2fmgrsd-2019-0021&partnerID=40&md5=b3e2fc8afb100f37c9a6c221a6fac923"
"Uzięblo A.K., Staszewski T., Chmura D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064806146&doi=10.3832%2fifor2203-012&partnerID=40&md5=398cdfb1fabc4dd5efaddf6f59fccc7a"
"Petrişor A.-I., Tîrzman E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061453010&partnerID=40&md5=537266c4377185c09476676a8501a584"
"Weber J., Dradrach A., Karczewska A., Kocowicz A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018242943&doi=10.1007%2fs11368-017-1715-3&partnerID=40&md5=aac0a2a1c17d7dd712265b677a5f9270"
"Szymura T.H., Murak S., Szymura M., Raduła M.W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044839018&doi=10.5586%2fasbp.3576&partnerID=40&md5=08b59007ce708013cfc726a0921452bb"
"Vacek S., Černý T., Vacek Z., Podrázský V., Mikeska M., Králíček I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019159700&doi=10.1016%2fj.foreco.2017.05.001&partnerID=40&md5=6ebe3848530ea369db38f161a60a2193"
"Hatos A., Ştefănescu F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021737391&doi=10.24193%2ftras.51E.3&partnerID=40&md5=315186d1b82b5d605072a2025929f63d"
"Pawlik Ł., Migoń P., Szymanowski M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992307231&doi=10.1002%2fesp.3950&partnerID=40&md5=42db407cbbc20e39836dbdb4bb8a3db1"
"Kwiatkowski P., Krahulec F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966550852&doi=10.5735%2f085.053.0217&partnerID=40&md5=7cbc6f88bc0190662d9d6316b6644f6a"
"Kulakowski D., Barbeito I., Casteller A., Kaczka R.J., Bebi P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962034547&doi=10.7163%2fGPol.0042&partnerID=40&md5=26b00330fecab96705185c7d2927e821"
"Vacek S., Hůnová I., Vacek Z., Hejcmanová P., Podrázský V., Král J., Putalová T., Moser W.K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943799390&doi=10.1007%2fs10342-015-0915-x&partnerID=40&md5=83cfdbaabe224a74a12a4e3a13ed4824"
"Pielech R., Anioł-Kwiatkowska J., Szcześniak E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926384319&doi=10.1016%2fj.foreco.2015.03.038&partnerID=40&md5=6b47d57454d182fb5c8f0943c81e4040"
"Parsian A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019520378&partnerID=40&md5=2761073ee2f3e8563cc4b1d466186289"
"Mannion A.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984605955&doi=10.4324%2f9781315842615&partnerID=40&md5=e31fc6a569998968b6309745ccb71811"
