Authors,Link
"Zhang H., Pham H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081162073&doi=10.1109%2fTCSS.2019.2950637&partnerID=40&md5=d4e82a1f7f167f3714f9c9f21c9c3ad6"
"Somashekhar, Maheshwari V., Singh R.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071277613&doi=10.35940%2fijrte.B1248.0782S319&partnerID=40&md5=7320a0bb14b63019fe424cb760f4f7cf"
"Mukherjee A., Dhar A.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064447440&doi=10.1016%2fj.mejo.2019.03.014&partnerID=40&md5=081039fa637e6c064967c98eb511933a"
"Khalid M., Majumdar S., Siddiqui M.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059679698&doi=10.1007%2f978-981-13-1742-2_69&partnerID=40&md5=8aab983707b392e70fe428c2c715963f"
"Reddy Hemantha G., Varadarajan S., Giri Prasad M.N.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063238489&doi=10.1007%2f978-981-13-3765-9_38&partnerID=40&md5=b9f63c516c7d30482b272e88985d4076"
"Belghadr A., Jaberipur G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042185466&doi=10.1109%2fTCSI.2018.2798595&partnerID=40&md5=7afa70a3eaf66b0ceada1195565aab03"
"Zhang B.-Y., Fu Z.-C., Chen H.-S., Cui G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046679485&doi=10.1016%2fj.micpro.2018.04.007&partnerID=40&md5=d3cfef1bed90b5ae598468ad3c1fc724"
"Dupuis S., Flottes M.-L., Di Natale G., Rouzeyre B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032453092&doi=10.1109%2fMDAT.2017.2766170&partnerID=40&md5=7883d49fd2eaa594a36770de8fa7822e"
"Mozaffari S.N., Tragoudas S., Haniotakis T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035802869&doi=10.1109%2fTCSI.2017.2768563&partnerID=40&md5=593f887d225532b765e72fa23385b446"
"Patronik P., Piestrak S.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015194333&doi=10.1007%2fs11265-017-1238-6&partnerID=40&md5=e82145bfdd551665309605f51f4fb19c"
"Lee S.W., Heo J.H., Park H.G., Lee E.C., Oh C.S., Kim S.W., Lim J.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041850012&partnerID=40&md5=bb59ef8a8845b81114c02f90f3adf291"
"Mozaffari S.N., Tragoudas S., Haniotakis T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032699608&doi=10.1109%2fISCAS.2017.8050380&partnerID=40&md5=c331c0dcdd698e3a25cad7184fbb49e6"
"Bukhari S.A.A., Lodhi F.K., Hasan O., Shafique M., Henkel J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020166566&doi=10.23919%2fDATE.2017.7927191&partnerID=40&md5=5002220bb4a50370f1b684ed213337f9"
"Zarrin J., Aguiar R.L., Barraca J.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009357323&doi=10.1016%2fj.simpat.2016.12.014&partnerID=40&md5=12626d664f24b662be22069335a7486e"
"Lee S.-W., Kim S.-H., Kim Y.-H., Lim J.-S., Lee J., Noh S.-H., Kim T.-W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007256896&doi=10.1109%2fCMD.2016.7757907&partnerID=40&md5=59b19f49af8b3122689b0eb0c5613526"
"Smakulski P., Pietrowicz S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971003189&doi=10.1016%2fj.applthermaleng.2016.05.096&partnerID=40&md5=08f201e371cbf4b0e9a5ebaa487a3dae"
"Ma S., Wang C.-H., Chen H.-Y., Hu J.-H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963594673&doi=10.3969%2fj.issn.1001-0548.2016.03.001&partnerID=40&md5=0d8aaa6da130724d28caa08ac6e4586c"
"Zhang B., Fu Z., Chen H., Cui G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975136473&doi=10.1155%2f2016%2f2462504&partnerID=40&md5=1f43f64a35d1fec0f8b2b81629f593b1"
"Ananda Mohan P.V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008958514&doi=10.1007%2f978-3-319-41385-3&partnerID=40&md5=c22c72cb0b09924aa46ac2ac0d4090ad"
"Nakahara H., Sasao T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962460820&doi=10.1109%2fFPL.2015.7293933&partnerID=40&md5=d86623d13d9ed6875a7a1d485ea21076"
"Langroudi S.H.F., Jaberipur G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952306811&doi=10.1109%2fARITH.2015.9&partnerID=40&md5=c841c5824ba5bb5a4445cb8a5a15498c"
"Zhang B., Chen H., Cui G., Fu Z.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946412657&doi=10.7544%2fissn1000-1239.2015.20140656&partnerID=40&md5=1bfee75f172132f9a5533bcd11d8edae"
"Mukherjee A., Dhar A.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923568463&doi=10.1016%2fj.microrel.2014.12.011&partnerID=40&md5=b7a81284158d9cce82e6185f5c5aba53"
"Vun C.H., Premkumar A.B., Zhang W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946693277&doi=10.1109%2fISPACS.2014.7024441&partnerID=40&md5=6c47a3efd5dba7ea754e42cbc94b472b"
"Fatemi H., Jaberipur G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904015680&partnerID=40&md5=7463f778f93573d82664a061ef70ce40"
"Patronik P., Piestrak S.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913536915&doi=10.1109%2fTCSI.2014.2337237&partnerID=40&md5=e8d6805ca84cddf572c5bbbeed9070bf"
"Patronik P., Piestrak S.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902178491&doi=10.1109%2fTCSI.2013.2290843&partnerID=40&md5=4ac8f58aa696dc4e4eff04743fda8500"
"Hamidi H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957012104&doi=10.4018%2f978-1-4666-4856-2.ch001&partnerID=40&md5=b6bf540ff790e99ffc6763eb59b79c3a"
"Stamenkovic N., Zivaljevic D., Stojanovic V.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885628527&doi=10.1109%2fTSP.2013.6614032&partnerID=40&md5=1b1a16e369597ec58a035ac409db2626"
"Ma S., Hu J.-H., Wang C.-H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887032001&doi=10.1109%2fTCSI.2013.2252639&partnerID=40&md5=c69f7b81a29222c08bcccf203b6106da"
"Vun C.H., Premkumar A.B., Zhang W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881086337&doi=10.1109%2fTCSI.2013.2239164&partnerID=40&md5=5557395ba662d8abb561b465122c0ddc"
"De Araújo Ramos Neto O., Cavalcanti A.C., Altafim R.A.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893603928&doi=10.1109%2fISVLSI.2013.6654660&partnerID=40&md5=6bf8e7d872bcf3eac1eb9e256fdbd582"
"Ahmadifar H., Jaberipur G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894130984&doi=10.1109%2fCADS.2013.6714234&partnerID=40&md5=c94cf91f7660832dab09ee22e8193fe9"
"Kim S.-M., Kim B.-S., Choi W.-S., Jung Y.-H., Lim J.-S., Lee J., Lee K.-H., Kim T.-W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874256933&doi=10.1109%2fCMD.2012.6416374&partnerID=40&md5=1982d7802690ab6e0becb9e00241d582"
"Mukherjee A., Dhar A.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880234016&doi=10.1109%2fISED.2012.21&partnerID=40&md5=906d3ed2ed73fe26222b0e7d18d7be1d"
"Wojciechowski B., Biernat J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872835519&partnerID=40&md5=c305003a05589be57426a3cb08389293"
"Molahosseini A.S., Sorouri S., Zarandi A.A.E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868119662&doi=10.1109%2fICCSE.2012.6295382&partnerID=40&md5=a8a8796b0e3b862084463a423e1961b0"
"Mukherjee A., Dhar A.S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864319428&doi=10.1007%2f978-3-642-31494-0_25&partnerID=40&md5=3938823a087820b299420e3af3647bc8"
"Hamidi H., Vafaei A., Monadjemi S.A.H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860531768&doi=10.4018%2fjghpc.2012010103&partnerID=40&md5=d88765860f6ca1163c1654b21aec0e7f"
"Kamal A.A., Youssef A.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870448118&doi=10.1007%2fs12095-011-0061-3&partnerID=40&md5=08aed43fc400134fa467fb42fc30f0dd"
"Torres-Echeverra A.C., Martorell S., Thompson H.A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951808962&doi=10.1016%2fj.ress.2010.12.003&partnerID=40&md5=21824dee6097f5f8f13357ab6fb456ff"
"Biernat J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860504081&doi=10.1504%2fIJCCBS.2010.031709&partnerID=40&md5=e3f5210de1b7f79806a640ed95a0013c"
"Yu C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954885317&partnerID=40&md5=ed0452f9a52a69b81c8502a3232a0f01"
"Wang G.-B., Huang H.-Z., Sun L.-S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955933809&partnerID=40&md5=16d29bd38df2988e998ea1b89529dd2f"
"Fouque P.-A., Masgana D., Valette F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951004462&doi=10.1109%2fFDTC.2009.36&partnerID=40&md5=b63f5606f13bf7d9a58265179bc3d6ae"
"Babu B.S., Venkataram P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74849084707&doi=10.1002%2fsec.113&partnerID=40&md5=1b02a10306997e01b7363f70541f524c"
"Wang G., Huang H.-Z., Wang Z.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886906056&partnerID=40&md5=db929f76ed06bd1e6fba6183784e3678"
"Nikodem M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36048944260&doi=10.1109%2fDEPCOS-RELCOMEX.2007.20&partnerID=40&md5=a0b9e2a65497d5a7f00ffa14e37112dc"
"Ness D.C., Hescott C.J., Lilja D.J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547283382&doi=10.1109%2fRAMS.2007.328120&partnerID=40&md5=64ccd965a44837731a5c7cf0d55145fd"
"Biernat J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34848886070&doi=10.1109%2fDEPCOS-RELCOMEX.2006.50&partnerID=40&md5=5e0a68762fb45fa10adf3942c8c7c363"
"Levitin G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-14844339423&doi=10.1016%2fj.ress.2004.08.017&partnerID=40&md5=4e6e152c592bb34702bcccdbe68bcc3c"
